city,genre,year,decade,id,title,release_date,net,budget,revenue,vote_average
San Francisco,Drama,1994,1990,tt0111693,When a Man Loves a Woman,1994-04-29,50021959,0,50021959,6.5
San Francisco,Romance,1994,1990,tt0111693,When a Man Loves a Woman,1994-04-29,50021959,0,50021959,6.5
San Francisco,Comedy,1996,1990,tt0117918,Tin Cup,1996-08-16,8854588,45000000,53854588,6.0
San Francisco,Romance,1996,1990,tt0117918,Tin Cup,1996-08-16,8854588,45000000,53854588,6.0
San Francisco,Drama,1991,1990,tt0101761,The Doors,1991-03-01,-3583107,38000000,34416893,7.0
San Francisco,Music,1991,1990,tt0101761,The Doors,1991-03-01,-3583107,38000000,34416893,7.0
San Francisco,Adventure,1996,1990,tt0116683,James and the Giant Peach,1996-04-12,-9078736,38000000,28921264,6.4
San Francisco,Animation,1996,1990,tt0116683,James and the Giant Peach,1996-04-12,-9078736,38000000,28921264,6.4
San Francisco,Family,1996,1990,tt0116683,James and the Giant Peach,1996-04-12,-9078736,38000000,28921264,6.4
San Francisco,Fantasy,1996,1990,tt0116683,James and the Giant Peach,1996-04-12,-9078736,38000000,28921264,6.4
San Francisco,Comedy,2000,2000,tt0204175,Boys and Girls,2000-06-16,4627372,16000000,20627372,5.8
San Francisco,Drama,2000,2000,tt0204175,Boys and Girls,2000-06-16,4627372,16000000,20627372,5.8
San Francisco,Romance,2000,2000,tt0204175,Boys and Girls,2000-06-16,4627372,16000000,20627372,5.8
San Francisco,Adventure,1997,1990,tt0119190,George of the Jungle,1997-07-15,119463257,55000000,174463257,5.4
San Francisco,Comedy,1997,1990,tt0119190,George of the Jungle,1997-07-15,119463257,55000000,174463257,5.4
San Francisco,Family,1997,1990,tt0119190,George of the Jungle,1997-07-15,119463257,55000000,174463257,5.4
San Francisco,Romance,1997,1990,tt0119190,George of the Jungle,1997-07-15,119463257,55000000,174463257,5.4
San Francisco,Action,1973,1970,tt0070355,Magnum Force,1973-12-23,39768000,0,39768000,7.2
San Francisco,Crime,1973,1970,tt0070355,Magnum Force,1973-12-23,39768000,0,39768000,7.2
San Francisco,Thriller,1973,1970,tt0070355,Magnum Force,1973-12-23,39768000,0,39768000,7.2
San Francisco,Drama,1973,1970,tt0070355,Magnum Force,1973-12-23,39768000,0,39768000,7.2
San Francisco,Mystery,1973,1970,tt0070355,Magnum Force,1973-12-23,39768000,0,39768000,7.2
San Francisco,Action,1976,1970,tt0074483,The Enforcer,1976-12-20,37236000,9000000,46236000,6.9
San Francisco,Crime,1976,1970,tt0074483,The Enforcer,1976-12-20,37236000,9000000,46236000,6.9
San Francisco,Thriller,1976,1970,tt0074483,The Enforcer,1976-12-20,37236000,9000000,46236000,6.9
San Francisco,Crime,1983,1980,tt0086383,Sudden Impact,1983-12-07,45642693,22000000,67642693,6.6
San Francisco,Action,1988,1980,tt0094963,The Dead Pool,1988-04-14,-20000000,20000000,0,6.4
San Francisco,Crime,1988,1980,tt0094963,The Dead Pool,1988-04-14,-20000000,20000000,0,6.4
San Francisco,Thriller,1988,1980,tt0094963,The Dead Pool,1988-04-14,-20000000,20000000,0,6.4
San Francisco,Comedy,2001,2000,tt0240462,Dr. Dolittle 2,2001-06-22,106104344,70000000,176104344,5.2
San Francisco,Family,2001,2000,tt0240462,Dr. Dolittle 2,2001-06-22,106104344,70000000,176104344,5.2
San Francisco,Romance,2001,2000,tt0240462,Dr. Dolittle 2,2001-06-22,106104344,70000000,176104344,5.2
San Francisco,Fantasy,2001,2000,tt0240462,Dr. Dolittle 2,2001-06-22,106104344,70000000,176104344,5.2
San Francisco,Romance,1974,1970,tt0071607,Herbie Rides Again,1974-02-14,0,0,0,6.0
San Francisco,Comedy,1974,1970,tt0071607,Herbie Rides Again,1974-02-14,0,0,0,6.0
San Francisco,Family,1974,1970,tt0071607,Herbie Rides Again,1974-02-14,0,0,0,6.0
San Francisco,Fantasy,1974,1970,tt0071607,Herbie Rides Again,1974-02-14,0,0,0,6.0
San Francisco,Romance,2003,2000,tt0328589,Under the Tuscan Sun,2003-09-20,40878723,18000000,58878723,6.6
San Francisco,Comedy,2003,2000,tt0328589,Under the Tuscan Sun,2003-09-20,40878723,18000000,58878723,6.6
San Francisco,Drama,2003,2000,tt0315983,House of Sand and Fog,2003-12-19,442795,16500000,16942795,7.1
San Francisco,Crime,2005,2000,tt0371739,The Zodiac,2005-07-31,0,0,0,5.7
San Francisco,Drama,2005,2000,tt0371739,The Zodiac,2005-07-31,0,0,0,5.7
San Francisco,Thriller,2005,2000,tt0371739,The Zodiac,2005-07-31,0,0,0,5.7
San Francisco,Comedy,1999,1990,tt0131369,Edtv,1999-03-26,-80000000,80000000,0,6.0
San Francisco,Romance,1995,1990,tt0113986,Nine Months,1995-07-12,69660733,0,69660733,5.6
San Francisco,Comedy,1995,1990,tt0113986,Nine Months,1995-07-12,69660733,0,69660733,5.6
San Francisco,Comedy,1969,1960,tt0065063,Take the Money and Run,1969-08-18,-1500000,1500000,0,7.2
San Francisco,Crime,1969,1960,tt0065063,Take the Money and Run,1969-08-18,-1500000,1500000,0,7.2
San Francisco,Action,2002,2000,tt0246894,Rollerball,2002-02-08,-44147236,70000000,25852764,4.0
San Francisco,Science Fiction,2002,2000,tt0246894,Rollerball,2002-02-08,-44147236,70000000,25852764,4.0
San Francisco,Thriller,2002,2000,tt0246894,Rollerball,2002-02-08,-44147236,70000000,25852764,4.0
San Francisco,Drama,2002,2000,tt0257756,High Crimes,2002-04-05,21781810,42000000,63781810,6.2
San Francisco,Mystery,2002,2000,tt0257756,High Crimes,2002-04-05,21781810,42000000,63781810,6.2
San Francisco,Thriller,2002,2000,tt0257756,High Crimes,2002-04-05,21781810,42000000,63781810,6.2
San Francisco,Crime,2002,2000,tt0257756,High Crimes,2002-04-05,21781810,42000000,63781810,6.2
San Francisco,Romance,2002,2000,tt0253867,The Sweetest Thing,2002-04-12,25696770,43000000,68696770,5.5
San Francisco,Comedy,2002,2000,tt0253867,The Sweetest Thing,2002-04-12,25696770,43000000,68696770,5.5
San Francisco,Drama,2003,2000,tt0304415,Mona Lisa Smile,2003-12-19,-65000000,65000000,0,6.9
San Francisco,Romance,2003,2000,tt0304415,Mona Lisa Smile,2003-12-19,-65000000,65000000,0,6.9
